"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,6/30/2024 0:00:00,2,0,0,0,0,7863007,1895477,0,11109125,0,7863007,1895477,0,0,0,0,5,0,0,0,0,122023,2,0,0,0,0,0,0,0,256477,0,29251,0,0,0,0,0,0,0,0,0,0,0,14455,0,0,0,0,0,0,0,0,91144,596,6582,84842,300,3647,4592,0,0,0,0,747,3585,3705398,0,0,2179336,0,0,0,0,0,799395,0,0,0,0,110,325,0,1259,68,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,285728,0,38664,68063,0,48799,0,2361,0,0,0,0,0,0,0,0,79697,888216,0,0,0,0,0,0,0,0,0,0,1346341,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,18799,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2024 0:00:00,7,0,0,0,0,196370785,8976615,1176838,274014841,0,198353785,13145615,27761838,0,0,0,284,0,0,0,0,122023,2,0,0,0,0,0,0,0,6899773,0,826670,0,0,0,0,0,0,0,0,0,0,0,750294,0,0,0,0,0,0,0,0,3532758,148925,279080,2456009,199312,391380,210273,0,0,0,0,23822,58251,60816862,0,0,34670987,0,0,0,0,19097503,26378464,0,0,-6100,550000,1234,14385,445,33688,218,104,82811,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,0,0,0,0,0,0,7726443,0,2197410,1660510,0,-136579,0,351932,211538,0,7000000,0,0,0,0,0,5767975,26258481,0,0,0,0,0,0,0,0,0,0,29921366,1092,0,0,0,84900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,4739423,0,0,0,0,0,0,0,0,0,21560000,0,0,8210040,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6/30/2024 0:00:00,11,0,0,0,0,53888494,907815,336278,60169418,0,53888494,907815,336278,0,0,0,106,0,0,0,0,32023,2,0,0,0,0,0,0,0,1335449,0,330520,0,0,0,0,0,0,0,0,0,0,0,659377,0,0,0,0,0,0,0,0,993825,72194,226997,331126,43719,350146,331514,0,0,0,0,5695,9859,4228044,0,0,4221097,0,0,0,0,3530052,7524613,0,0,0,4093,180,6210,156,14580,566,353,22045,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,1665969,0,1229941,191865,0,144609,0,180000,5391,0,0,0,0,0,0,0,719619,1010437,0,0,0,0,0,0,0,0,-1304778,0,6064098,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,0,0,5250413,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,0,0,0,0,563298551,108959534,177168986,1074739920,0,568448890,171501534,186759986,0,0,0,155,0,0,0,0,122023,2,0,0,0,0,0,0,0,25427673,0,1869960,0,0,0,0,0,0,0,0,0,0,0,2801905,0,0,0,0,0,0,0,0,5914092,185977,436366,3759689,302700,1017573,281517,0,0,0,0,85463,37681,301686119,0,0,294098650,0,0,0,0,9844398,22081599,0,0,-27070,0,8407,33322,2326,72948,76,541,117641,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,27297633,0,5988517,15272417,0,4721598,0,0,0,0,15000000,0,0,0,0,0,6930859,52589267,0,0,0,0,0,0,0,0,-1073834,0,105358508,979,0,47392380,0,777035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19713,556778694,0,0,0,0,0,0,29000000,7000000,36000000,506377840,0,0,537135,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6/30/2024 0:00:00,14,0,0,0,0,8334579,0,0,9617599,0,8334579,0,0,0,0,0,2,0,0,0,0,22024,2,0,0,0,0,0,0,0,106201,0,78239,0,0,0,0,0,0,0,0,0,0,0,13063,0,0,0,0,0,0,0,0,105920,0,1800,24658,579,39683,8920,0,0,0,0,624,620,1303065,0,0,989228,0,0,0,0,138561,244271,0,0,0,0,68,341,6,1114,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,184440,0,28750,23504,0,6882,0,40341,20306,0,0,0,0,0,0,0,121436,1047159,0,0,0,0,0,0,0,0,0,0,1275912,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,0,0,0,0,6817065,0,0,9804128,0,6817065,0,0,0,0,0,1,0,0,0,0,62023,3,0,0,0,0,0,0,0,49640,0,142849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40350,0,7987,4693,0,2110,12740,0,0,0,0,484,1172,837107,0,0,217725,0,0,0,0,0,356796,0,0,0,0,0,0,0,1774,0,0,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,192489,0,0,51270,0,71683,2857,0,0,0,0,0,0,0,0,0,30,970911,0,0,0,0,0,0,0,0,0,0,2984655,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,0,0,0,0,274845560,8671635,662445,336912698,0,274845560,8671635,662445,0,0,0,11,0,0,0,0,92023,2,0,0,0,0,0,0,0,6870270,0,1585756,0,0,0,0,0,0,0,0,0,0,0,160339,0,0,0,0,0,0,0,0,1729427,25594,201392,828709,154947,560946,293760,0,214972,0,0,28943,56808,46436163,0,0,17934473,0,0,0,0,14262957,14985087,0,0,0,0,4254,11256,1380,23214,0,1564,41668,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,8456026,0,951727,2691518,0,2380688,0,0,465190,0,0,0,0,0,0,0,1432020,31605012,0,0,0,0,0,0,0,0,-7379,0,51305363,1520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35298247,0,0,95980,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2024 0:00:00,19,0,0,0,0,16661905,1852926,0,21224909,0,16661905,1852926,0,0,0,0,2,0,0,0,0,122023,3,0,0,0,0,0,0,0,169287,0,156692,0,0,0,0,0,0,0,0,0,0,0,63839,0,0,0,0,0,0,0,0,129495,128,22024,43103,4023,2920,86324,0,0,0,0,1842,18988,1313702,0,0,2265880,0,0,0,0,288080,236518,0,0,0,0,115,625,0,1184,28,0,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,325979,0,63839,33082,0,35314,0,111464,0,0,0,0,0,0,0,0,316247,1319310,0,0,0,0,0,0,0,0,0,0,2142559,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,35234,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2024 0:00:00,21,0,0,0,0,1003301889,110864167,1431927,1345517110,0,1020902889,135513167,1431927,0,0,0,815,0,0,0,0,62023,2,0,0,0,0,0,0,0,39715544,0,9474472,0,0,0,0,0,0,0,0,0,0,0,6621436,0,0,0,0,0,0,0,0,14607779,544600,1751709,2425176,961860,868079,2878234,0,0,0,0,118255,438960,399366646,0,0,45413849,0,0,0,0,5285,63944626,0,0,11388,103742,12616,56101,3021,124190,0,9240,247668,0,0,0,0,0,0,0,0,0,0,0,0,0,302,26,0,0,0,0,0,0,49190016,0,9525928,22663644,0,3393301,0,5359,52655,0,0,0,0,0,0,1316114557,6637553,8407458,0,0,0,0,0,0,0,0,-88001,0,120910266,916,0,378252311,0,660987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17551,357929560,0,0,0,0,0,9000000,45483823,0,54483823,514754193,0,0,81166634,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6/30/2024 0:00:00,29,0,0,0,0,126277488,1821384,838968,146255732,0,126277488,1821384,838968,0,0,0,135,0,0,0,0,92023,3,0,0,0,0,0,0,0,2165511,0,924138,0,0,0,0,0,0,0,0,0,0,0,546267,0,0,0,0,0,0,0,0,1020655,11030,97139,272630,36617,119249,722205,0,35639,0,0,14795,26711,8895249,0,0,15996842,0,0,0,0,3148690,4084213,0,0,0,-44379,986,8374,449,16551,48,277,26685,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,3089649,0,720753,585849,0,833615,0,66000,17159,0,0,0,0,0,0,0,1534759,9247065,0,0,0,0,0,0,0,0,0,0,15661061,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9607,0,0,0,0,0,0,0,0,0,10000000,0,0,246878,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6/30/2024 0:00:00,30,0,0,0,0,50071410,985882,0,58064193,0,50071410,985882,0,0,0,0,1,0,0,0,0,102023,3,0,0,0,0,0,0,0,614726,0,269791,0,0,0,0,0,0,0,0,0,0,0,23740,0,0,0,0,0,0,0,0,315456,3442,44187,75162,10348,4644,190242,0,0,0,0,3493,17391,6528317,0,0,2939566,0,0,0,0,492798,714162,0,0,0,322178,431,1445,59,2720,0,384,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,884517,0,345918,363403,0,192667,0,0,0,0,0,0,0,0,0,0,266823,6235634,0,0,0,0,0,0,0,0,0,0,6651071,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,408769,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6/30/2024 0:00:00,31,0,0,0,0,51295435,317400,12056,64323913,0,51295435,317400,12056,0,0,0,35,0,0,0,0,62023,3,0,0,0,0,0,0,0,800286,0,453977,0,0,0,0,0,0,0,0,0,0,0,87332,0,0,0,0,0,0,0,0,500629,57954,62849,110174,9844,16581,421177,0,0,0,0,6244,11426,9300874,0,0,3971399,0,0,0,0,1116957,4175350,0,0,0,82491,272,2193,107,4416,528,0,7516,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1254263,0,402697,292702,0,99202,0,155000,0,0,0,0,0,0,0,0,409628,5750831,0,0,0,0,0,0,0,0,-961562,0,13381135,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144000,0,0,2380385,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6/30/2024 0:00:00,32,0,0,0,0,7385184995,234591980,30010373,9191764711,0,7385284995,234591980,30010373,0,0,0,2821,0,0,0,0,122023,3,0,0,0,0,0,0,0,169334549,0,29262763,0,0,0,0,0,0,0,0,0,0,0,16207329,0,0,0,0,0,0,0,0,85147600,797485,10501676,16793295,2721099,8556368,23533046,0,0,0,0,368450,7609247,258650456,0,0,1195325644,0,0,0,0,195825476,225174174,0,0,-141619,0,53608,403182,14128,686795,8784,58553,1225051,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,45,0,0,0,0,0,0,198597312,0,55047785,84725619,0,7210733,0,396162,19186,0,0,0,0,0,0,8975986126,99017308,740137565,0,0,0,0,0,0,0,0,0,0,743133341,826,0,3567023166,0,6242799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36736,697344030,0,0,0,0,0,601278543,200000000,0,801278543,2433535233,0,0,69852180,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5208936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6/30/2024 0:00:00,33,0,0,0,0,57756118,233204,73354,64099102,0,57756118,233204,73354,0,0,0,36,0,0,0,0,122023,3,0,0,0,0,0,0,0,1097494,0,393480,0,0,0,0,0,0,0,0,0,0,0,134219,0,0,0,0,0,0,0,0,523475,10800,69902,127756,15160,88846,451299,0,0,0,0,6495,32808,5403014,0,0,2120818,0,0,0,0,2210115,1761724,0,0,0,0,220,3883,117,5826,0,88,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,1490974,0,272110,86814,0,279837,0,80000,0,0,0,0,0,0,0,0,674031,1606200,0,0,0,0,0,0,0,0,-732366,0,5715527,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,124447,1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6/30/2024 0:00:00,35,0,0,0,0,399950304,3375421,1252424,474351967,0,399950304,3375421,1252424,0,0,0,257,0,0,0,0,32024,3,0,0,0,0,0,0,0,9457531,0,2193742,0,0,0,0,0,0,0,0,0,0,0,971181,0,0,0,0,0,0,0,0,4845932,34812,557096,401586,360016,396455,1775403,0,0,0,0,34158,131669,100134547,0,0,11976583,0,0,0,0,10065433,8169587,0,0,0,0,3560,21657,983,31134,5029,3303,65666,0,0,0,0,0,0,0,0,0,0,0,0,0,103,7,0,0,0,0,0,0,11651273,0,2959252,3637553,0,1369545,0,179536,652476,0,0,0,0,0,0,0,3841028,63581038,0,0,0,0,0,0,0,0,-4671636,0,51894755,1093,0,0,0,456650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,36358563,0,0,0,0,0,20495000,0,0,20495000,71755541,0,0,3956032,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6/30/2024 0:00:00,41,0,0,0,0,188937315,618839,139193,202881793,0,188937315,618839,139193,0,0,0,25,0,0,0,0,62023,3,0,0,0,0,0,0,0,2981509,0,1009501,0,0,0,0,0,0,0,0,0,0,0,1372133,0,0,0,0,0,0,0,0,2511026,8273,204123,903834,207593,142704,362664,0,-3292,0,0,19101,47289,62364870,0,0,23249108,0,0,0,0,0,2204034,0,0,0,34823,971,10592,345,14952,1926,285,29071,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0,0,0,0,3991010,0,1388459,726401,0,38493,0,775363,222741,0,0,0,0,0,0,0,2177409,24522134,0,0,0,0,0,0,0,0,-168312,0,16596368,818,0,0,0,59185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3602940,0,0,0,0,0,0,0,0,0,38719946,0,0,1265685,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6/30/2024 0:00:00,43,0,0,0,0,740399969,33201613,18250485,888261051,0,740502568,33201613,18250485,0,0,0,169,0,0,0,0,122023,2,0,0,0,0,0,0,0,17136886,0,3467058,0,0,0,0,0,0,0,0,0,0,0,2429549,0,0,0,0,0,0,0,0,8171021,88038,1395366,2452849,426947,455708,1879009,0,0,0,0,81165,285117,151232283,0,0,146284589,0,0,0,0,13730828,28986434,0,0,-13349,50694,6849,29137,1633,37477,156,2043,77297,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,20603944,0,5048177,7897502,0,1389399,0,0,1685464,0,0,0,0,0,0,0,7589081,46629055,0,0,0,0,0,0,0,0,0,0,86302210,971,0,0,0,268011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11891,275520935,0,0,0,0,0,18000000,0,0,18000000,290087793,0,0,7963304,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6/30/2024 0:00:00,46,0,0,0,0,247652270,2789510,1015561,293847137,0,247652270,2789510,1015561,0,0,0,244,0,0,0,0,122023,3,0,0,0,0,0,0,0,6288115,0,1295608,0,0,0,0,0,0,0,0,0,0,0,459466,0,0,0,0,0,0,0,0,2071842,49333,354094,1304303,93312,190344,125364,0,0,0,0,28295,148855,87944278,0,0,9994261,0,0,0,0,2636300,2692638,0,0,-79425,0,912,12968,537,21768,0,814,36999,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,7583723,0,967577,1207384,0,2328174,0,0,34818,0,0,0,0,0,0,0,779983,35082137,0,0,0,0,0,0,0,0,0,0,36096573,1227,0,25589508,0,417995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4903,72401474,0,0,0,0,0,0,0,0,0,26136304,0,0,2046150,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6/30/2024 0:00:00,49,0,0,0,0,3047304,0,0,8175515,0,3047304,0,0,0,0,0,19,0,0,0,0,42024,3,0,0,0,0,0,0,0,95321,0,40171,0,0,0,0,0,0,0,0,0,0,0,4052,0,0,0,0,0,0,0,0,105407,1008,0,23497,0,1653,20509,0,0,0,0,541,1843,1057962,0,0,2286669,0,0,0,0,245571,326249,0,0,0,0,0,0,9,1420,61,0,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,135492,0,8675,3371,0,-13662,0,60272,0,0,0,0,0,0,0,0,0,1026638,0,0,0,0,0,0,0,0,0,0,5090382,6197,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,6/30/2024 0:00:00,54,0,0,0,0,10471887,225575,0,12705225,0,10471887,225575,0,0,0,0,2,0,0,0,0,82023,2,0,0,0,0,0,0,0,124131,0,67730,0,0,0,0,0,0,0,0,0,0,0,2058,0,0,0,0,0,0,0,0,92115,41,4116,37808,0,1238,360,0,0,0,0,0,2658,1308047,0,0,1585500,0,0,0,0,0,821042,0,0,0,1098,40,200,0,1246,0,0,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,191861,0,3156,14870,0,21687,15800,0,0,0,0,0,0,0,0,0,200,806395,0,0,0,0,0,0,0,0,0,0,2007598,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,6/30/2024 0:00:00,57,0,0,0,0,59400137,2455801,1018247,75039028,0,59400137,2455801,1018247,0,0,0,87,0,0,0,0,92023,3,0,0,0,0,0,0,0,829870,0,640651,0,0,0,0,0,0,0,0,0,0,0,82345,0,0,0,0,0,0,0,0,461806,4067,81238,476606,20262,41392,38283,0,0,0,0,6637,21864,10964347,0,0,1052446,0,0,0,0,1857910,2275615,0,0,0,60426,452,2107,329,4984,0,285,8157,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1470521,0,310030,380866,0,145495,0,239307,0,0,0,0,0,0,0,0,690372,2866175,0,0,0,0,0,0,0,0,0,0,11941438,1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,3706638,0,0,0,0,0,0,0,0,0,6900000,0,0,574201,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
